Rank,Player,POS,Team,AVG,Expert,Sleeper,ESPN,Yahoo,Underdog,CBS,FFPC
,Indianapolis Colts,DEF18,IND,263.7,,221,298,272,,,
,Jazz Ferguson,WR100,,264.0,,264,,,,,
,Andy Borregales,K17,NE,267.0,,193,350,284,,,241
,Gannon Sinclair,TE36,,267.0,,267,,,,,
,David White,WR102,,270.0,,270,,,,,
,Cody Chrest,WR103,,272.0,,272,,,,,
,Peter LeBlanc,WR104,,273.0,,273,,,,,
,Ray Hamilton,TE37,,274.0,,274,,,,,
,Buffalo Bills,DEF19,BUF,275.3,,219,364,243,,,
,Marcus Major,RB79,,278.0,,278,,,,,
,Cayleb Jones,WR107,,280.0,,280,,,,,
,Chris Warren,RB81,,282.0,,282,,,,,
,Wil Lutz,K18,DEN,283.6,,355,346,229,,213,275
,Cincinnati Bengals,DEF20,CIN,286.3,,302,300,257,,,
,Thomas Ives,WR109,CHI,289.0,,289,,,,,
,New Orleans Saints,DEF21,NO,289.3,,323,256,289,,,
,Kendrick Ings,WR111,,291.0,,291,,,,,
,Chicago Bears,DEF22,CHI,291.3,,225,359,290,,,
,Erick All,TE45,CIN,291.5,,,313,317,255,,281
,Cleveland Browns,DEF23,CLE,292.3,,388,187,302,,,
,Jamel Johnson,WR114,,295.0,,295,,,,,
,Kasey Closs,WR115,,296.0,,296,,,,,
,Atlanta Falcons,DEF24,ATL,298.7,,242,363,291,,,
,Ezell Ruffin,WR117,,299.0,,299,,,,,
,Garett Maag,WR118,,300.0,,300,,,,,
,Tony Jones,WR120,,301.0,,301,,,,,
,New York Giants,DEF25,NYG,303.7,,286,358,267,,,
,Blake Grupe,K19,NYJ,303.8,,,357,371,,183,304
,Sione Vaki,RB90,DET,304.8,,,282,328,291,,318
,Adam Humphries,WR123,,309.0,,309,,,,,
,Anthony Dable,WR125,,310.0,,310,,,,,
,Malik Benson,WR127,LV,312.8,,,368,296,271,,316
,Dorian Baker,WR129,,314.0,,314,,,,,
,Rory Starkey,WR131,,317.0,,317,,,,,
,Jalen Jackson,RB91,,320.0,,320,,,,,
,Jake Elliott,K20,PHI,320.5,,220,344,347,,,371
,Anthony Grant,RB92,,324.0,,324,,,,,
,Spencer Shrader,K21,IND,325.0,,527,288,354,,180,276
,Chris Swain,RB93,,326.0,,326,,,,,
,Dimitri Stanley,WR135,,327.0,,327,,,,,
,Cade Klubnik,QB37,,328.0,,,,,328,,
,Tanner Gentry,WR138,,329.0,,329,,,,,
,D.J. Foster,RB94,,330.0,,330,,,,,
,Ka'Raun White,WR139,,331.0,,331,,,,,
,Kalija Lipscomb,WR141,,332.0,,332,,,,,
,Jarveon Howard,RB95,,335.0,,335,,,,,
,Tre Mosley,WR144,,336.0,,336,,,,,
,Kenjon Barner,RB96,,338.0,,338,,,,,
,Lincoln Sefcik,TE51,,339.0,,339,,,,,
,Colbie Young,WR145,CIN,340.5,,,401,339,276,,346
,Javorius Allen,RB99,,343.0,,343,,,,,
,Carolina Panthers,DEF26,CAR,343.3,,285,361,384,,,
,Rodney Anderson,RB100,,344.0,,344,,,,,
,Marlin Klein,TE53,HOU,345.3,,,460,307,289,,325
,Andrew Price,TE54,,346.0,,346,,,,,
,Jonnu Smith,TE56,GB,347.8,,,384,360,275,,372
,Xavier Rush,WR149,,350.0,,350,,,,,
,Isaiah Weston,WR151,,351.0,,351,,,,,
,Josh Adams,RB101,,352.0,,352,,,,,
,Marquez Stevenson,WR154,,353.0,,353,,,,,
,Tennessee Titans,DEF27,TEN,353.0,,396,360,303,,,
,Nick Folk,K22,ATL,354.3,,417,258,374,,,368
,Gabe Marks,WR156,,356.0,,356,,,,,
,Cameron Posey,WR157,,357.0,,357,,,,,
,Ben Wooldridge,QB42,,358.0,,358,,,,,
,Adonis Jennings,WR159,,360.0,,360,,,,,
,Marquis Young,RB103,,362.0,,362,,,,,
,Cody Core,WR162,,364.0,,364,,,,,
,Jared Smart,WR163,,365.0,,365,,,,,
,Daniel Carlson,K23,NO,365.7,,,345,417,,,335
,Jordan Leggett,TE59,,366.0,,366,,,,,
,Matt Seybert,TE60,,367.0,,367,,,,,
,Tyler Hudson,WR166,,368.0,,368,,,,,
,Jordan Williams-Lambert,WR168,,369.0,,369,,,,,
,Matt Gay,K24,LV,369.3,,381,352,375,,,
,Tommy Tremble,TE62,CAR,369.3,,,379,404,325,,
,Tyree Mayfield,TE63,,371.0,,371,,,,,
,Carson Meier,TE64,,372.0,,372,,,,,
,George Campbell,WR170,,373.0,,373,,,,,
,Jalen Hurd,WR171,,374.0,,374,,,,,
,Reggie White,WR172,,375.0,,375,,,,,
,Dontez Byrd,WR173,,376.0,,376,,,,,
,Riley Patterson,K25,MIA,376.0,,389,351,388,,,
,Matt Colburn,RB105,,377.0,,377,,,,,
,Trayone Gray,RB106,,380.0,,380,,,,,
,Malik Taylor,WR174,,380.0,,,,,380,,
,Robert Foster,WR176,,382.0,,382,,,,,
,Trenton Cannon,RB107,,384.0,,384,,,,,
,DaVaris Daniels,WR178,,386.0,,386,,,,,
,Josh Oliver,TE65,MIN,386.0,,,388,378,392,,
,Daniel Bellinger,TE66,TEN,386.0,,,408,402,348,,
,Washington Commanders,DEF28,WAS,387.0,,,362,412,,,
,Jahdae Walker,WR179,CHI,389.8,,,464,424,288,,383
,Arizona Cardinals,DEF29,ARI,391.3,,400,366,408,,,
,KeAndre Lambert-Smith,WR180,LAC,391.5,,,429,,354,,
,Devin Gray,WR181,,392.0,,392,,,,,
,John Metchie,WR182,CAR,392.0,,,530,407,344,,287
,Miami Dolphins,DEF30,MIA,392.3,,431,367,379,,,
,Dominique Brown,RB109,,394.0,,394,,,,,
,Artayvious Lynn,TE68,,397.0,,397,,,,,
,C.J. Daniels,WR183,LAR,397.5,,,604,341,301,,344
,Las Vegas Raiders,DEF31,LV,397.7,,409,365,419,,,
,Luke Deal,TE69,,398.0,,398,,,,,
,Rasheed Williams,RB110,,399.0,,399,,,,,
,Elijah Higgins,WR184,ARI,400.3,,,382,429,390,,
,Josh Pearson,WR185,,401.0,,401,,,,,
,Marcus Johnson,WR186,,403.0,,403,,,,,
,Alonzo Moore,WR187,,404.0,,404,,,,,
,Chad Ryland,K26,ARI,405.3,,491,355,370,,,
,Joey Slye,K27,TEN,405.3,,494,354,368,,,
,Ben Sinnott,TE70,WAS,406.3,,,409,426,400,,390
,Tyler Adams,WR188,,407.0,,407,,,,,
,Josh Smith,WR189,,408.0,,408,,,,,
,Andre Lindsey,WR190,,410.0,,410,,,,,
,Justin Strong,RB113,,413.0,,413,,,,,
,Bra'Lon Cherry,WR191,,414.0,,414,,,,,
,Carlos Henderson,WR192,,415.0,,415,,,,,
,Aaron Bailey,QB43,BAL,419.0,,419,,,,,
,Antonio Nunn,WR194,,420.0,,420,,,,,
,Nate Boerkircher,TE71,JAX,420.3,,,426,479,356,,
,Barion Brown,WR195,NO,421.5,,,419,627,277,,363
,Rahsul Faison,RB115,,422.0,,422,,,,,
,Tajae Sharpe,WR196,,423.0,,423,,,,,
,Jayden Higgins,WR197,HOU,423.2,,216,573,363,719,,245
,Andre Szmyt,K28,CLE,423.7,,480,356,435,,,
,Paul Browning,WR198,,425.0,,425,,,,,
,Jamaal Jones,WR199,,426.0,,426,,,,,
,Will Kacmarek,TE72,MIA,426.3,,,385,525,388,,407
,Ryan Fitzgerald,K29,CAR,426.3,,487,353,439,,,
,Drew Sample,TE73,CIN,426.7,,,332,551,397,,
,Micah Wright,WR200,,427.0,,427,,,,,
,Austin Hooper,TE74,ATL,427.6,,600,380,380,389,,389
,Bronson Kaufusi,TE75,GB,428.0,,428,,,,,
,Sam Roush,TE76,CHI,428.3,,,463,471,351,,
,Odell Beckham,WR201,NYG,428.5,,,413,730,258,,313
,Gio Pascascio,WR202,,430.0,,430,,,,,
,Devontae Booker,RB117,,433.0,,433,,,,,
,Carson Wentz,QB45,MIN,434.3,,,511,364,428,,
,Spencer Rattler,QB46,NO,435.0,,,459,442,404,,
,Terry Wright,WR203,,437.0,,437,,,,,
,Cody Hollister,WR204,,440.0,,440,,,,,
,Devon Williams,WR205,,441.0,,441,,,,,
,Kenneth Dixon,RB118,,442.0,,442,,,,,
,Hal Presley,WR206,,443.0,,341,,606,382,,
,Patrick DiMarco,RB119,,443.0,,443,,,,,
,Tanner Koziol,TE77,JAX,443.3,,,453,474,403,,
,Brian Walker,TE78,,444.0,,444,,,,,
,Keelan Cole,WR207,,445.0,,445,,,,,
,Tevin Jones,WR208,,446.0,,446,,,,,
,Speedy Noil,WR209,,447.0,,447,,,,,
,Caleb Chapman,WR210,,448.0,,448,,,,,
,Julio Jones,WR211,,448.0,,,,,448,,
,Jonathon Rumph,WR212,,449.0,,449,,,,,
,Jelani Woods,TE79,NYJ,450.3,,316,531,513,441,,
,Tra Carson,RB121,,451.0,,451,,,,,
,Kermit Whitfield,WR213,,452.0,,452,,,,,
,RJ Maryland,TE81,GB,452.0,,,,452,,,
,Nic Shimonek,QB47,,454.0,,454,,,,,
,Dont'e Thornton,WR214,LV,454.0,,,,,454,,
,Cade McDonald,WR215,,455.0,,455,,,,,
,Tyler Bass,K30,BUF,455.3,,432,347,721,,,321
,Jalen Royals,WR216,KC,455.7,,,428,609,330,,
,DeAndre Thompkins,WR218,GB,457.0,,457,,,,,
,Noah Togiai,TE82,,457.5,,390,,,525,,
,Troy Mangen,TE83,,460.0,,460,,,,,
,Cody Chrest,WR219,,463.0,,463,,,,,
,New York Jets,DEF32,NYJ,465.0,,412,285,698,,,
,Marcus Baugh,TE85,,465.0,,465,,,,,
,Cameron Scarlett,RB122,,466.0,,466,,,,,
,Hunter Thedford,TE87,,467.0,,467,,,,,
,Matthew Hibner,TE88,BAL,467.0,,,467,,,,
,Cade Stover,TE89,HOU,467.7,,,393,560,450,,
,Lil'Jordan Humphrey,WR220,DEN,468.0,,,514,420,470,,
,Austin Fort,TE90,,469.0,,469,,,,,
,Shaq Hill,WR221,,470.0,,470,,,,,
,John Bates,TE91,WAS,470.7,,,394,567,451,,
,Eric McAlister,WR222,,471.0,,471,,,,,
,Jeremy Ruckert,TE92,NYJ,471.3,,,410,536,468,,
,Tyler Rutenbeck,WR223,,473.0,,473,,,,,
,Mitchell Evans,TE93,CAR,473.0,,,579,423,417,,
,Zach Ertz,TE94,,474.0,,,717,353,444,,382
,Chevan Cordeiro,QB48,,475.0,,475,,,,,
,Keytaon Thompson,WR224,,477.0,,477,,,,,
,Ryan Smith,TE95,,478.0,,478,,,,,
,Kyle Juszczyk,RB124,SF,480.5,,,377,834,352,,359
,Jordan Franks,TE96,,481.0,,481,,,,,
,Jimmy Horn Jr.,WR225,CAR,482.3,,,418,727,302,,
,John Jiles,WR226,,482.5,,321,,644,,,
,Nick O'Leary,TE97,,483.0,,483,,,,,
,Isaiah Williams,WR227,NYJ,484.0,,,399,733,320,,
,Chris Autman-Bell,WR228,,485.0,,485,,,,,
,Ryan Davis,WR230,,486.0,,486,,,,,
,Thayer Thomas,WR231,,491.5,,383,,,600,,
,Chase Roberts,WR232,,492.0,,492,,,,,
,Cyril Grayson,WR233,,493.0,,493,,,,,
,Amara Darboh,WR234,,495.0,,495,,,,,
,Rasheen Ali,RB125,BAL,495.0,,,279,937,358,,406
,Corey Kiner,RB126,NE,495.8,,702,589,351,341,,
,Jermiah Braswell,WR235,,496.0,,496,,,,,
,Jeremy Cox,RB127,,497.0,,497,,,,,
,Charlie Smyth,K31,NO,497.5,,393,1000,283,,,314
,Marshall Lang,TE98,MIN,498.0,,,,498,,,
,Ko Kieft,TE100,TB,499.3,,,455,530,513,,
,Robert Davis,WR237,,500.0,,500,,,,,
,Phil Mafah,RB129,,500.0,,,979,338,342,,341
,Malachi Corley,WR238,CLE,500.3,,313,437,839,412,,
,I'Tavius Mathers,RB130,,501.0,,501,,,,,
,Nick Chubb,RB131,,501.3,,,686,386,432,,
,Braylon Heard,RB132,,502.0,,502,,,,,
,Chris Bazile,TE101,,503.0,,503,,,,,
,Austin MacGinnis,K32,,504.0,,504,,,,,
,B.J. Johnson,WR239,,506.0,,506,,,,,
,Darius Cooper,WR240,PHI,506.7,,,470,732,318,,
,Josh Rounds,RB133,,507.0,,507,,,,,
,Keith Towbridge,TE102,,508.0,,508,,,,,
,Latreal Jones,WR241,,510.0,,510,,,,,
,Dominic Zvada,K33,NYG,510.5,,499,348,861,,,334
,Kyrese White,WR242,,511.0,,511,,,,,
,Jack Endries,TE103,CIN,511.0,,,611,503,419,,
,Ian Thomas,TE104,LV,511.3,,535,475,539,496,,
,Jared Pinkney,TE105,,513.0,,513,,,,,
,Trevor Davis,WR243,,514.0,,514,,,,,
,Coleman Owen,WR244,IND,514.7,,319,600,625,,,
,Mekale McKay,WR245,,515.0,,515,,,,,
,Ryan Yurachek,TE106,,518.0,,518,,,,,
,Vinny Anthony II,WR246,ATL,518.0,,,,570,607,,377
,Dalevon Campbell,WR247,LAC,519.0,,306,601,650,,,
,Derrick Dillon,WR248,,519.0,,519,,,,,
,Tyler Kahmann,WR249,,522.0,,,,,522,,
,Josh Cameron,WR250,JAX,523.0,,,458,690,421,,
,Mark Redman,TE107,GB,523.3,,531,,518,521,,
,Jam Miller,RB135,,523.8,,,320,784,613,,378
,J'Mar Smith,QB52,,524.0,,524,,,,,
,Efton Chism,WR251,NE,524.0,,,445,815,312,,
,Nick Sharga,RB136,,525.0,,525,,,,,
,Kaden Wetjen,WR252,PIT,525.0,,,490,640,445,,
,Jacob Cowing,WR253,SF,525.3,,,442,798,336,,
,Davis Mills,QB53,HOU,528.8,,,473,835,405,,402
,Tim Semisch,TE108,,529.0,,529,,,,,
,Bryce Pierre,TE109,,529.0,,,,529,,,
,Ray Lawry,RB137,,530.0,,530,,,,,
,Marvin Hall,WR254,,530.0,,,,,530,,
,AJ Dillon,RB138,CAR,530.3,,,517,909,383,,312
,Landon Parker,WR255,,531.0,,,,,531,,
,Jacques Patrick,RB139,,532.0,,429,,,635,,
,Tony Brooks-James,RB140,,532.0,,532,,,,,
,Anthony Schwartz,WR257,,532.0,,,,,532,,
,David Sills,WR258,TB,532.5,,564,529,534,503,,
,Jordan Watkins,WR259,SF,533.0,,,580,680,339,,
,Cole Hedlund,K34,,534.0,,534,,,,,
,Robert Lewis,WR260,,535.0,,,,,535,,
,Reggie Virgil,WR261,ARI,535.7,,,480,638,489,,
,Nick Schuessler,QB54,PIT,537.0,,537,,,,,
,Brevyn Spann-Ford,TE110,DAL,537.7,,,447,805,361,,
,Younghoe Koo,K35,,538.7,,476,704,436,,,
,Dylan Laube,RB141,LV,539.3,,,304,1008,465,,380
,Skyler Howard,QB55,SEA,540.0,,540,,,,,
,Trey Knox,TE112,,540.0,,,,,540,,
,Zach D'Orazio,WR262,,541.0,,541,,,,,
,Mark McNamee,K36,,542.0,,542,,,,,
,Ricky Ortiz,RB142,,543.0,,543,,,,,
,Caleb Shudak,K37,,544.0,,544,,,,,
,Nick Boyle,TE113,,545.0,,,,,545,,
,Christian Trahan,TE114,,546.0,,546,,,,,
,Kisean Johnson,WR263,,546.5,,474,,619,,,
,Jon Hilliman,RB143,,548.0,,548,,,,,
,Gus Johnson,RB144,,549.0,,549,,,,,
,C.J. Uzomah,TE115,,550.0,,311,650,,689,,
,Chris Brazzell II,WR264,CAR,550.0,,559,603,695,343,,
,Jordan Akins,TE116,,550.3,,387,625,,639,,
,Josh Johnson,WR265,,552.0,,552,,,,,
,Luke Lundy,RB146,,553.0,,553,,,,,
,Damiere Byrd,WR266,,554.0,,,,,554,,
,Daniel Rodriguez,WR267,,556.0,,556,,,,,
,Deion Burks,WR268,IND,556.3,,,609,661,399,,
,Kevin Davidson,QB56,,557.0,,557,,,,,
,Joel Wilson,TE117,TEN,557.3,,651,,485,536,,
,Algernon Brown,RB147,,558.0,,558,,,,,
,Jake Moody,K38,BAL,559.7,,468,852,359,,,
,Austin Seibert,K39,,560.0,,450,670,,,,
,Moral Stephens,TE118,,560.0,,560,,,,,
,Tyler Badie,RB148,DEN,560.7,,,305,894,483,,
,Jackson Hawes,TE119,BUF,561.3,,1034,407,411,393,,
,Isaiah Bowser,RB149,,562.0,,562,,,,,
,Chad Hansen,WR270,,563.0,,563,,,,,
,Ricky Pearsall,WR271,SF,564.0,,322,559,357,1226,,356
,Joe Mixon,RB150,,564.3,,238,683,383,953,,
,Levern Jacobs,WR272,,565.0,,565,,,,,
,Tay Martin,WR273,DET,566.0,,809,438,581,436,,
,Ryan Izzo,TE120,,568.0,,568,,,,,
,Jeremy McNichols,RB151,WAS,568.0,,,507,707,490,,
,Jakeem Grant,WR274,,569.0,,489,,,649,,
,Matt LaCosse,TE121,NE,570.0,,,,,570,,
,Kene Nwangwu,RB152,NYJ,570.3,,,283,918,510,,
,Mitch Van Vooren,WR275,,570.5,,675,,466,,,
,Kano Dillon,TE122,,571.0,,571,,,,,
,Tyler Huntley,QB57,BAL,571.0,,,466,890,357,,
,Tyson Bagent,QB58,CHI,572.3,,,341,1014,362,,
,Maxx Williams,TE123,,575.0,,575,,,,,
,J'Mari Taylor,RB153,JAX,575.5,,,,783,368,,
,C.J. Duncan,WR276,,576.0,,576,,,,,
,Tim Patrick,WR277,NYJ,576.8,,894,510,428,475,,
,Drew Estrada,WR278,,577.0,,577,,,,,
,Daniel Marx,RB154,,579.0,,579,,,,,
,Jarrett Stidham,QB59,DEN,581.3,,,338,997,409,,
,Jake Roh,TE124,,582.0,,582,,,,,
,Ahmani Marshall,RB155,CAR,582.3,,572,,790,385,,
,Gabe Nabers,RB156,,583.0,,583,,,,,
,Marcus Yarns,RB157,,584.0,,584,,,,,
,Sam Howell,QB60,DAL,586.7,,,342,979,439,,
,Ben Mason,TE125,,587.0,,411,,,763,,
,Kendrick Law,WR279,DET,587.3,,,607,577,578,,
,Bryson Green,WR280,,587.5,,536,,639,,,
,Tommy Sweeney,TE126,,588.0,,424,,,752,,
,Jeremiah Hall,TE127,,588.0,,588,,,,,
,Kayron Lynch-Adams,RB158,,590.0,,550,,,630,,
,Keeon Johnson,WR281,,590.0,,590,,,,,
,Breshad Perriman,WR282,,590.0,,609,,,571,,
,Tommy DeVito,QB61,NE,590.3,,,339,973,459,,
,Quincy Enunwa,WR283,,591.0,,591,,,,,
,Luke Farrell,TE128,SF,591.8,,717,461,713,476,,
,Marcus Marshall,RB159,,592.0,,592,,,,,
,Devron Harper,WR284,,593.0,,593,,,,,
,Mario Williams,WR285,,594.3,,434,,605,744,,
,Kyle McCord,QB62,MIA,594.3,,,482,963,338,,
,TaMerik Williams,RB160,,595.0,,595,,,,,
,Jacob Saylors,RB161,DET,595.8,,1293,243,949,233,,261
,Key'Shawn Smith,WR286,,596.0,,596,,,,,
,Ben Sims,TE129,MIA,596.3,,668,553,545,619,,
,Sam Schnee,WR287,,598.0,,598,,,,,
,Blake Whiteheart,TE130,CLE,598.3,,,436,874,485,,
,Brandon Polk,WR288,,599.0,,599,,,,,
,Malcolm Brown,RB162,,601.5,,325,,,878,,
,Braxton Westfield,WR289,,602.0,,602,,,,,
,Caleb Huntley,RB163,,602.0,,,,,602,,
,Brogan Roback,QB63,,603.0,,603,,,,,
,Quinn Ewers,QB64,JAX,603.7,,,452,907,452,,
,Mitch Leidner,QB65,,604.0,,604,,,,,
,Hamze El-Zayat,WR290,,605.0,,605,,,,,
,Tyrone Swoopes,TE131,,606.0,,606,,,,,
,Kyric McGowan,WR291,,606.0,,,,,606,,
,Quenton Bundrage,WR292,,607.0,,607,,,,,
,Tanner McKee,QB66,PHI,607.0,,,343,1017,461,,
,Antonio Gibson,RB164,,608.3,,,751,433,641,,
,Derek Carr,QB67,,609.5,,,715,,504,,
,Dallas Daniels,WR293,,610.0,,610,,,,,
,Kyle Lewis,WR294,,611.0,,611,,,,,
,Phillip Sims,QB68,,612.0,,612,,,,,
,Bauer Sharp,TE132,TB,613.0,,935,612,456,449,,
,Simi Fehoko,WR295,ARI,613.0,,,525,927,387,,
,Mikah Holder,WR296,,614.0,,614,,,,,
,Ronald Jones,RB165,,616.0,,616,,,,,
,Arian Smith,WR297,NYJ,616.5,,597,493,884,492,,
,Jeremiah Webb,WR298,NE,616.5,,664,,569,,,
,Trinidad Chambliss,QB69,,617.0,,,,,617,,
,John Lunsford,K40,,619.0,,619,,,,,
,Noah Cain,RB166,,619.5,,464,,,775,,
,Tip Reiman,TE133,ARI,619.7,,,560,837,462,,
,Nick Kallerup,TE134,SEA,620.0,,773,596,491,,,
,Derius Davis,WR299,LAC,622.0,,,439,926,501,,
,Sergio Bailey,WR300,,623.0,,623,,,,,
,James Mitchell,TE135,DAL,623.3,,,827,478,565,,
,Hale Hentges,TE136,,624.0,,624,,,,,
,JJ Galbreath,TE137,,624.0,,740,,508,,,
,Luke Floriea,WR301,,624.0,,,,624,,,
,Tre Nixon,WR302,,625.5,,421,,,830,,
,Julius Chestnut,RB167,TEN,625.7,,,539,1004,334,,
,A.J. Ouellette,RB168,,626.0,,626,,,,,
,Andy Phillips,K41,,627.0,,627,,,,,
,Scotty Washington,WR303,,628.0,,,,,628,,
,Xavier Johnson,WR304,,628.5,,670,,587,,,
,Trey Lance,QB70,LAC,628.7,,,450,1020,416,,
,Chris Thompson,RB169,,629.0,,629,,,,,
,Shane Zylstra,TE138,NE,629.0,,,802,532,553,,
,Sawyer Robertson,QB71,,630.0,,630,,,,,
,Brittain Brown,RB170,CHI,630.7,,,538,743,611,,
,Alfred Morris,RB171,,631.0,,631,,,,,
,Khalil Herbert,RB172,,631.5,,,790,930,433,,373
,Tre Stewart,RB173,,632.0,,547,,767,582,,
,John Hoyland,K42,,632.0,,632,,,,,
,Bryan Thompson,WR305,,632.5,,628,,,637,,
,Trent Taylor,WR306,,632.8,,780,631,594,526,,
,Xavier Jones,RB174,,633.0,,633,,,,,
,Taylen Green,QB72,CLE,633.7,,,610,958,333,,
,Matthew Wright,K43,,634.0,,488,780,,,,
,J.J. Taylor,RB175,,634.3,,361,768,,774,,
,Nyqwan Murray,WR307,,635.0,,635,,,,,
,Cole Hunt,TE139,,636.0,,636,,,,,
,Jack Heneghan,QB73,,637.0,,637,,,,,
,Andrew Ogletree,TE140,IND,637.5,,,462,813,,,
,Devon Garrison,TE141,,638.0,,638,,,,,
,KJ Hamler,WR309,,638.0,,,,,638,,
,Shae Wyatt,WR310,,639.0,,639,,,,,
,LaJohntay Wester,WR311,BAL,639.0,,,498,920,499,,
,Xavier White,WR313,,640.0,,640,,,,,
,Xavier Smith,WR314,LAR,642.0,,845,440,827,456,,
,Feleipe Franks,TE142,CAR,643.3,,,527,892,511,,
,Dillon Gabriel,QB74,CLE,643.7,,,575,954,402,,
,Devin Duvernay,WR315,ARI,644.0,,,499,931,502,,
,Nikko Remigio,WR316,KC,644.3,,,500,928,505,,
,Paul Perkins,RB177,,645.0,,645,,,,,
,Ben DiNucci,QB75,,645.0,,,,,645,,
,Kenny Pickett,QB76,CAR,645.3,,,456,1023,457,,
,Dezmon Patmon,WR317,,646.0,,586,,,706,,
,Max Wittek,QB77,,646.0,,646,,,,,
,Ronald Jones,RB178,,646.0,,713,,,579,,
,Andy Dalton,QB78,PHI,646.0,,,512,1018,408,,
,Ben Yurosek,TE143,MIN,646.0,,,594,844,500,,
,Nick Muse,TE144,ATL,646.3,,,826,493,620,,
,Phillip Dorsett,WR318,,647.0,,580,647,633,728,,
,David Fales,QB79,,647.0,,647,,,,,
,Nate Adkins,TE145,DEN,647.0,,1113,424,554,497,,
,Leroy Watson,TE146,,647.0,,,,,647,,
,Patrick Ricard,RB180,NYG,649.0,,,487,951,509,,
,Antwane Wells Jr.,WR319,ATL,649.0,,,,649,,,
,Roman Hemby,RB181,,649.7,,,,776,804,,369
,Mitchell Trubisky,QB81,TEN,651.7,,,486,1011,458,,
,Payne Durham,TE147,TB,651.8,,868,430,830,479,,
,Qadree Ollison,RB182,,652.5,,526,,,779,,
,Deon Yelder,TE148,,653.0,,653,,,,,
,Zane Gonzalez,K44,,653.5,,,951,356,,,
,Savon Scarver,WR320,,654.0,,654,,,,,
,Ronnie Rivers,RB183,LAR,654.7,,,541,942,481,,
,Stanley Berryhill,WR321,,655.0,,655,,,,,
,Easop Winston,WR322,,655.0,,,,,655,,
,Kylen Granson,TE149,TEN,655.3,,744,524,847,506,,
,Chris Manhertz,TE150,NYG,656.0,,1095,489,542,498,,
,Eli Wolf,TE151,,657.0,,657,,,,,
,Charleston Rambo,WR323,,657.5,,880,,,435,,
,Milton Wright,WR324,,658.0,,658,,,,,
,Keaontay Ingram,RB184,,658.3,,453,820,757,603,,
,Donald Parham,TE152,,658.7,,,743,531,702,,
,Treyton Pickering,TE153,,660.0,,660,,,,,
,Ameer Abdullah,RB185,JAX,660.0,,1029,306,818,487,,
,Caleb Lohner,TE154,DEN,660.5,,878,584,520,660,,
,Marshall Morgan,K45,,662.0,,662,,,,,
,Deshaun Fenwick,RB186,,662.0,,,,,662,,
,Mason Rudolph,QB82,PIT,662.7,,,506,1016,466,,
,Nick Williams,WR325,DEN,663.0,,,,,663,,
,E.J. Jenkins,TE155,PHI,663.8,,698,569,472,916,,
,British Brooks,RB187,HOU,664.0,,574,495,923,,,
,Eric Frohnapfel,TE156,,665.0,,665,,,,,
,Ryan Willis,QB83,,666.0,,666,,,,,
,Josh Reynolds,WR326,,667.0,,418,649,434,1167,,
,Cole Burgess,WR327,PIT,667.5,,751,,584,,,
,Foster Moreau,TE157,HOU,668.5,,1228,422,547,477,,
,Keilan Robinson,RB188,,668.7,,405,926,,675,,
,Mitchell Tinsley,WR328,HOU,669.0,,,892,446,,,
,Quintin Morris,TE158,JAX,671.3,,858,540,796,491,,
,Will Howard,QB84,PIT,671.7,,,588,964,463,,
,De'Mard Llorens,RB189,,672.0,,672,,,,,
,Eric Saubert,TE159,SEA,672.3,,902,469,832,486,,
,Deante' Gray,WR329,,673.0,,673,,,,,
,Tanner Morgan,QB85,,673.0,,,,,673,,
,Jalen Milroe,QB86,SEA,676.0,,,576,1028,424,,
,Chris Moore,WR330,BAL,676.0,,,620,553,855,,
,Reggie Gilliam,RB190,NE,676.3,,,485,1006,538,,
,Jalen Simmons,RB191,,677.0,,677,,,,,
,Thomas Yassmin,TE160,GB,677.0,,1122,,528,381,,
,Luke McNitt,RB192,,678.0,,678,,,,,
,Brandon Cottom,RB193,,679.0,,679,,,,,
,Nelson Agholor,WR331,,679.0,,,710,,648,,
,Samson Nacua,WR332,,679.0,,,,,679,,
,DJ Turner,WR333,,679.5,,416,833,703,766,,
,Irvin Charles,WR334,SEA,679.5,,,552,807,,,
,Bryce Love,RB194,,680.0,,680,,,,,
,Jonathan Ward,RB195,BAL,682.7,,,775,843,430,,
,Ryan Griffin,TE161,,683.0,,709,657,,,,
,Micah Bernard,RB196,,683.0,,,,,683,,
,Zack Kuntz,TE162,,683.7,,,868,495,688,,
,Kyle Sloter,QB87,,684.0,,684,,,,,
,Seth Henigan,QB88,,684.3,,482,,1002,569,,
,Pharaoh Brown,TE163,IND,684.8,,643,739,555,802,,
,Brock Lampe,RB197,,685.0,,621,,749,,,
,Samson Evans,RB198,,685.0,,685,,,,,
,Jimmy Holiday,WR335,KC,685.0,,864,599,592,,,
,Jaylen Johnson,WR336,,685.5,,406,965,,,,
,Zay Malone,WR337,,686.0,,686,,,,,
,Qadir Ismail,WR338,CHI,686.0,,839,,533,,,
,Brandon Silvers,QB89,,687.0,,687,,,,,
,Le'Veon Moss,RB199,,687.0,,,,741,633,,
,J.D. McKissic,RB200,,688.0,,688,,,,,
,Jake Briningstool,TE164,KC,688.0,,1127,,497,440,,
,Dallen Bentley,TE165,DEN,688.5,,620,615,477,1042,,
,Eric Dungey,QB90,,689.0,,689,,,,,
,Gunner Olszewski,WR340,NYG,689.7,,,515,820,734,,
,Austin Mack,WR341,,690.0,,,,,690,,
